place,1way_int_count_bike,1way_int_prop_bike,2way_int_count_bike,2way_int_prop_bike,3way_int_count_bike,3way_int_prop_bike,4way_int_count_bike,4way_int_prop_bike,5way_int_count_bike,5way_int_prop_bike,6way_int_count_bike,6way_int_prop_bike,7way_int_count_bike,7way_int_prop_bike,8way_int_count_bike,8way_int_prop_bike,circuity_avg_bike,disconnected_components_bike,edge_density_km_bike,edge_length_avg_bike,edge_length_total_bike,entropy_bike,intersection_count_bike,intersection_density_km_bike,k_avg_bike,length_bike,linearity_mean_bike,linearity_median_bike,m_bike,n_bike,node_density_km_bike,self_loop_proportion_bike,street_density_km_bike,street_length_avg_bike,street_length_total_bike,street_segment_count_bike,streets_per_node_avg_bike
"Moscow, Russia",54,0.009024064171122994,1,0.00016711229946524063,2731,0.45638368983957217,2990,0.49966577540106955,180,0.030080213903743314,25,0.004177807486631016,3,0.000501336898395722,,,1.0393276838117556,425.0,4954227864751.206,66.96696154905074,729738.9800000058,3.5604951798708813,5930,40259013213.15523,3.6420454545454546,72.97389800000002,0.9766110650897787,0.999968021103946,10897,5984,40625621427.91246,0.0008655011251514627,2572995416046.7607,65.60368166868602,378992.46899999917,5777,3.556149732620321
"New York City, USA",55,0.009049029285949325,12,0.0019743336623889436,3217,0.529285949325436,2605,0.42859493254359987,166,0.027311615663047056,21,0.0034550839091806516,2,0.0003290556103981573,,,1.0692450573220493,377.0,7105785757893.373,82.058158274022,922333.6990000074,3.551958760620791,6023,46402020945.55741,3.698585060875288,92.2333699,0.97317016572131,0.9999770630540266,11240,6078,46825748515.20803,0.0006664445184938354,3735473802894.409,80.78405914695101,484865.92299999995,6002,3.474827245804541
"Newcastle Upon Tyne, United Kingdom",35,0.020710059171597635,7,0.004142011834319527,1082,0.6402366863905326,547,0.32366863905325444,18,0.010650887573964497,0,0.0,1,0.000591715976331361,,,1.0354454633076384,151.0,14858182914001.428,77.06955163566391,240302.86200000008,3.542925227213899,1655,102330419696.25961,3.6899408284023667,24.0302862,0.9714893201716706,0.9998469743698224,3118,1690,104494507121.86026,0.0,7521592035130.261,75.88736868371795,121647.45199999987,1603,3.301775147928994
"Norwich, United Kingdom",14,0.00955631399317406,0,0.0,921,0.6286689419795222,486,0.331740614334471,37,0.025255972696245733,6,0.004095563139931741,1,0.0006825938566552901,,,1.030487583622621,134.0,22641402208470.89,44.68831866519974,121865.04499999968,3.5556928778715267,1451,269582427056.84268,3.7228668941979524,12.186504500000002,0.9739093517582232,0.9997897711058095,2727,1465,272183498027.75638,0.0,11435731888702.488,43.90275606276753,61551.66400000008,1402,3.378156996587031
"Nottingham, United Kingdom",41,0.013411841674844618,5,0.0016355904481517827,1924,0.629375204448806,1056,0.34543670264965654,31,0.010140660778541054,,,,,,,1.0466650166089002,186.0,29235567532838.445,49.922103300838145,291894.53800000064,3.565905538931161,3016,302076470094.9648,3.8253189401373895,29.189453799999995,0.9701885492870316,0.9995380945150071,5847,3057,306182947307.7942,0.0006613756613756613,14942113436846.412,49.33381283068774,149185.44999999972,3024,3.3372587504088975
"Oslo, Norway",286,0.026831785345717233,5,0.00046908715639365793,7909,0.7420020639834881,2319,0.21756262313537855,121,0.011351909184726523,16,0.0015010789004597054,2,0.00018763486255746317,1,9.381743127873159e-05,1.0425313436932861,1072.0,12506766923757.707,48.318112038795896,966458.8769999954,3.580002810138195,10373,134235088928.8167,3.7530725208743783,96.6458877,0.9737922606221251,0.9992512837555854,20002,10659,137936162430.5656,0.0002969708968521085,6292572518057.254,48.13480182142149,486257.76799999987,10102,3.191856646965006
"Oxford, United Kingdom",35,0.020138089758342925,8,0.004602991944764097,1115,0.6415420023014959,557,0.3204833141542002,21,0.012082853855005753,2,0.0011507479861910242,,,,,1.027880861778083,185.0,31922613976640.812,59.34505226917082,189607.44200000077,3.5451331868671057,1703,286719819795.99243,3.676639815880322,18.9607442,0.9758355230454405,0.9999498054345537,3195,1738,292612476104.1896,0.0,16091105875713.875,59.17936470588237,95574.67400000003,1615,3.303222094361335
"Paris, France",42,0.005818786367414797,38,0.005264616237184816,2645,0.3664449986145747,4146,0.5743973399833749,263,0.036436686062621224,69,0.009559434746467166,13,0.0018010529232474369,2,0.0002770850651149903,1.0146082816120219,331.0,45227153909909.234,51.1867720620454,584092.256,3.5568376458692557,7176,555648620784.845,3.1618176780271545,58.409225600000006,0.9883632443119159,0.9999999999999998,11411,7218,558900744819.539,0.0002756339581036384,28584293634528.406,50.875932194046335,369155.7640000002,7256,3.667636464394569
"Reading, United Kingdom",6,0.0052585451358457495,2,0.0017528483786152498,756,0.6625766871165644,365,0.31989482909728306,11,0.009640666082383873,1,0.0008764241893076249,,,,,1.0466458053594654,84.0,23358755040187.816,57.90530725462293,122122.29299999977,3.523060749204987,1135,217095391179.83334,3.696757230499562,12.212229299999999,0.9699632447275829,0.9996944147372031,2109,1141,218243032014.2642,0.0017857142857142857,12411032885631.895,57.93421964285718,64886.326000000045,1120,3.329535495179667
"Rome, Italy",218,0.049043869516310463,39,0.008773903262092238,2490,0.5601799775028121,1636,0.36805399325084365,55,0.012373453318335208,7,0.0015748031496062992,,,,,1.1148779063781176,433.0,4558255233296.21,75.11962455684254,635662.2630000015,3.5723240083839536,4227,30311292635.50923,3.8074240719910013,63.5662263,0.954023057972462,0.9997253658543193,8462,4445,31874543592.344105,0.0037105751391465678,2330966578042.26,75.38502527829304,325060.2289999996,4312,3.2906636670416196
